word,video_url
Akershus,akershus.mp4
akevitt,akevitt.mp4
akkaplate,akkaplate.mp4
akkord,akkord.mp4
akkreditering,akkreditering.mp4
akkurat,akkurat.mp4
akse 1,akse-1.mp4
akse 2,akse-2.mp4
aksel,aksel.mp4
akseptere 1,akseptere-1.mp4
akseptere 2,akseptere-2.mp4
aksje,aksje.mp4
aksjeselskap,aksjeselskap.mp4
aksjon,aksjon.mp4
akson (nervecelle),akson-nervecelle.mp4
akt (teater),akt-teater.mp4
aktfotografering,aktfotografering.mp4
aktiv,aktiv.mp4
aktiva,aktiva.mp4
aktivisere,aktivisere.mp4
aktivitet,aktivitet.mp4
aktor 1,aktor.mp4
aktor 2,aktor-2.mp4
aktsom 1,aktsom-1.mp4
aktsom 2,aktsom-2.mp4
aktuell/-e,aktuell-e.mp4
akupunktur,akupunktur.mp4
akutt 1,akutt.mp4
akutt 2,akutt-2.mp4
alarm,alarm.mp4
Albania,albania.mp4
albino,albino.mp4
album,album.mp4
alder,alder.mp4
aldershjem,aldershjem.mp4
aldri 1,aldri.mp4
aldri 2,aldri-2.mp4
Aleksander,aleksander.mp4
alene,alene.mp4
Alf,alf.mp4
alfabet,alfabet.mp4
alge,alge.mp4
Algerie,algerie.mp4
alkohol,alkohol.mp4
alkoholfri,alkoholfri.mp4
all events (bowling),all-events-bowling.mp4
Allah,allah.mp4
alle,alle.mp4
alle sammen,alle-sammen.mp4
allehelgensdag,allehelgensdag.mp4
allel (gen),allel.mp4
allerede,allerede.mp4
allergi,allergi.mp4
allmennfag,allmennfag.mp4
allround (skøyting),allround-skoeyting.mp4
alltid,alltid.mp4
almanakk,almanakk.mp4
alminnelig,alminnelig.mp4
alpint,alpint.mp4
alt,alt.mp4
Alta,alta.mp4
altan,altan.mp4
alternativ 1,alternativ.mp4
alternativ 2,alternativ-2.mp4
altså 1,altsaa-1.mp4
altså 2,altsaa-2.mp4
aluminium,aluminium.mp4
alvorlig,alvorlig.mp4
amatør,amatoer.mp4
ambassadør,ambassadoer.mp4
ambisjon,ambisjon.mp4
ambivalent,ambivalent.mp4
ambulanse 1,ambulanse.mp4
ambulanse 2,ambulanse-2.mp4
ambulanse 3,ambulanse-3.mp4
amen,amen.mp4
americano (kaffedrikk),americano.mp4
Amerika 1,amerika-1.mp4
Amerika 2,amerika-2.mp4
amerikaner,amerikaner.mp4
amerikansk,amerikansk.mp4
amfetamin,amfetamin.mp4
amme,amme.mp4
ampere 1,ampere.mp4
ampere 2,ampere-2.mp4
amputere,amputere.mp4
Amsterdam,amsterdam.mp4
analog,analog-2.mp4
analyse,analyse.mp4
ananas 1,ananas.mp4
ananas 2,ananas-2.mp4
ananas 3,ananas-3.mp4
anatomi,anatomi.mp4
ANB (Avisenes Nyhetsbyrå),ANB.mp4
anbefale,anbefale.mp4
anbud,anbud-2.mp4
and,and.mp4
and går,and-gaar.mp4
and svømmer,and-svoemmer.mp4
andakt,andakt.mp4
Andebu,Andebu.mp4
andel,andel.mp4
Anders,anders.mp4
andpusten,andpusten.mp4
andre,andre.mp4
andre: for det andre 1,andre-for-det-andre-1.mp4
andre: for det andre 2,andre-for-det-andre-2.mp4
Andreas 1,andreas.mp4
Andreas 2,andreas-2.mp4
Andreas Christian Møller,andreas-christian-moeller.mp4
Android (operativsystem),android.mp4
anelse,anelse.mp4
anestesisykepleier,anestesisykepleier.mp4
anfall,anfall.mp4
angre,angre.mp4
angrep,angrep.mp4
angripe 1,angripe.mp4
angripe 2,angripe-2.mp4
angst 1,angst.mp4
angst 2,angst-2.mp4
angstanfall,angstanfall.mp4
animasjon 1,animasjon-1.mp4
animasjon 2,animasjon-2.mp4
animatør,animatoer.mp4
anke,anke.mp4
ankelforstuing,vrikke-over-1.mp4
anker,anker.mp4
ankeutvalg,ankeutvalg.mp4
anmelde 1,anmelde.mp4
anmelde 2,anmelde-2.mp4
anmeldelse 1,anmeldelse.mp4
anmeldelse 2,anmeldelse-2.mp4
Anne 1,anne-3.mp4
Anne 2,anne-1.mp4
Anne 3,anne-2.mp4
Anne-Kari,anne-kari.mp4
annen/annet,annen-annet.mp4
annerledes,annerledes.mp4
annonse 1,annonse-1.mp4
annonse 2,annonse-2.mp4
anonym 1,anonym.mp4
anonym 2,anonym-2.mp4
anonym 3,anonym-3.mp4
anorakk,anorakk.mp4
anoreksi,anoreksi.mp4
ansats (bowling),ansats-bowling.mp4
ansatt,ansatt.mp4
ansatte,ansatte.mp4
ansette,ansette.mp4
ansikt,ansikt.mp4
anstendig,anstendig.mp4
anstrengelsesastma,angstrengelsesastma.mp4
ansvar,ansvar.mp4
ansvarlig,ansvarlig.mp4
antall,antall.mp4
antenne,antenne.mp4
antenne (tenne på),antenne-2.mp4
antibac 1,antibac-1.mp4
antibac 2,antibac-2.mp4
antibiotika,antibiotika.mp4
antidepressiva,antidepressiva.mp4
antikken,antikken.mp4
antimaterie,antimaterie.mp4
antisemittisme,antisemittisme.mp4
antistoff,antistoff.mp4
antyde,antyde.mp4
ape 1,ape-1.mp4
ape 2,ape-2.mp4
ape 3,ape-3.mp4
ape: profil,ape-profil.mp4
apokryfe,apokryfer.mp4
Apollo (romfartøy),apollo.mp4
apostel 1,apostel-1.mp4
apostel 2,apostel-2.mp4
apostel 3,apostel.mp4
apotek,apotek.mp4
app (applikasjon) 1,app.mp4
app (applikasjon) 2,app-2.mp4
apparat 1,apparat-1.mp4
apparat 2,apparat-2.mp4
appelsin,appelsin.mp4
appelsinjuice,appelsinjuice.mp4
appetitt,appetitt.mp4
applaus,applaus.mp4
april,april.mp4
Arabia,arabia.mp4
arabisk 1,arabisk-1.mp4
arabisk 2,arabisk-2.mp4
arabisk 3,arabisk-3.mp4
arbeid,arbeid.mp4
arbeide,arbeide.mp4
Arbeiderpartiet,arbeidspartiet.mp4
arbeidsavklaringspenger,arbeidsavklaringspenger.mp4
arbeidsgiver,arbeidsgiver.mp4
arbeidsklær,arbeidsklaer.mp4
arbeidsledig,arbeidsledig.mp4
arbeidsoppgave,arbeidsoppgave.mp4
arbeidsordre,arbeidsordre.mp4
arbeidsplass,arbeidsplass.mp4
areal,areal.mp4
Arendal,arendal.mp4
Argentina 1,argentina-1.mp4
Argentina 2,argentina-2.mp4
argument 1,argument.mp4
argument 2,argument-2.mp4
argumentere,argumentere.mp4
Arild,arild.mp4
Aristoteles (filosof),aristoteles.mp4
ark (kvist),ark.mp4
ark (papirark),ark-papirark.mp4
arkeologi,arkeologi.mp4
arkitekt 1,arkitekt-1.mp4
arkitekt 2,arkitekt-2.mp4
arkiv,arkiv.mp4
arm,arm.mp4
armbånd,armbaand.mp4
armbåndsur,armbaandsur.mp4
Arne,arne.mp4
arr,arr.mp4
arrangere 1,arrangere-1.mp4
arrangere 2,arrangere-2.mp4
arrangør,arrangoer.mp4
arrest,arrest.mp4
arrestere,arrestere.mp4
arrogant,arrrogant.mp4
artikkel,artikkel.mp4
artikulasjon,artikulasjon.mp4
artilleri,artilleri.mp4
arv,arv.mp4
arvelig,arvelig.mp4
arvemateriale,arvemateriale.mp4
arverett,arverett.mp4
Asbjørn,asbjorn.mp4
asfalt 1,asfalt.mp4
asfalt 2,asfalt-1.mp4
asfalt 3,asfalt-3.mp4
asfaltplate,asfaltplate-2.mp4
Asia 1,asia-1.mp4
Asia 2,asia-2.mp4
asjett,asjett.mp4
ask (planteslekt),ask.mp4
aske,aske.mp4
Askeladden,askeladden.mp4
Askepott,askepott.mp4
ASL (american sign language),asl-americansignlanguage.mp4
asparges,asparges.mp4
assistent,assistent.mp4
assistere,assistere.mp4
assuranse (forsikring),assuranse-forsikring.mp4
asteroide,asteroide.mp4
astma,astma.mp4
astmaanfall,astmaanfall.mp4
Astrid 1,astrid.mp4
Astrid 2,astrid-2.mp4
astrologi,astrologi.mp4
astronaut,astronaut.mp4
at,at.mp4
ateist,ateist.mp4
Athen,athen.mp4
atmosfære,atmosfaeren.mp4
atmosfære (stemning),atmosfaere-2.mp4
atom 1,atom-1.mp4
atom 2,atom-2.mp4
atom 3,atom.mp4
atom 4,atom-4.mp4
atom 5,atom-5.mp4
atom 6,atom-6.mp4
atombombe,atombombe.mp4
atomkraft,atomkraft.mp4
attest 1,attest-1.mp4
attest 2,attest-2.mp4
attest 3,attest-3.mp4
attføring,attfoering.mp4
au (vondt i øret),au-vondt-i-oeret.mp4
aubergine,aubergin.mp4
Aud,aud.mp4
Audi 1,audi-1.mp4
Audi 2,audi-2.mp4
audiograf,audiograf.mp4
audiogram,audiogram.mp4
audiologi,audiologi.mp4
audiopedagog,audiopedagog.mp4
audisme,audisme.mp4
august,august.mp4
auksjon,auksjon.mp4
Aust-Agder,aust-agder.mp4
Australia 1,australia-1.mp4
Australia 2,australia-2.mp4
Australia 3,australia-3.mp4
autisme,autisme.mp4
automat 1,automat-1.mp4
automat 2,automat-2.mp4
automatgir,automat-gir.mp4
automatisk 1,automatisk-2.mp4
automatisk 2,automatisk.mp4
autoritet,autoritet.mp4
"av (slå av, f.eks. høreapparat)",av-slaa-av-feks-hoereapparat.mp4
avanse (fortjeneste),avanse-fortjeneste.mp4
avatar (hinduismen) 1,avatar-hinduismen-1.mp4
avatar (hinduismen) 2,avatar-hinduismen-2.mp4
avbalansering (dekk),avbalansering-dekk.mp4
avbestille/-ing 1,avbestille-ing-1.mp4
avbestille/-ing 2,avbestille-ing-2.mp4
avbetaling,avbetaling.mp4
avbitertang (verktøy) 1,avbitertang-1.mp4
avbitertang (verktøy) 2,avbitertang-2.mp4
avbitertang (verktøy) 3,avbitertang-3.mp4
avbryte,avbryte.mp4
avdeling 1,avdeling-1.mp4
avdeling 2,avdeling-2.mp4
avdeling 3,avdeling-3.mp4
avdrag,avdrag.mp4
avføring,avfoering.mp4
avgangselever,avgangselever.mp4
avgift,avgift.mp4
avgjøre,avgjoere.mp4
avgjørelse,avgjoerelse.mp4
avhandling,avhandling.mp4
avhengig,avhengig.mp4
avhengig personlighetsforstyrrelse,avhengig-personlighetsforstyrrelse.mp4
avhør 1,avhoer-1.mp4
avhør 2,avhoer-2.mp4
avhøre/-ing 1,avhoere-ing-1.mp4
avhøre/-ing 2,avhoere-ing-2.mp4
avis,avis.mp4
avkom,avkom.mp4
avlat,avlat.mp4
avlyst,avlyst.mp4
avokado 1,avokado-1.mp4
avokado 2,avokado-2.mp4
avrunde,avrunde.mp4
avskjedige/-lse,avskjedige-lse.mp4
avsky/-elig,avsky-elig.mp4
avslå,avslaa.mp4
avslag,avslag.mp4
avslappende 1,avslappende-1.mp4
avslappende 2,avslappende-2.mp4
avsløre 1,avsloere-1.mp4
avsløre 2,avsloere-2.mp4
avslutning,avslutning.mp4
avsnitt 1,avsnitt-1.mp4
avsnitt 2,avsnitt-2.mp4
avstand 1,avstand-1.mp4
avstand 2,avstand-2.mp4
avstand 3,avstand-3.mp4
avsted,avsted.mp4
avstemning,avstemning.mp4
avsug 1,avsug-2.mp4
avsug 2,avsug-3.mp4
avtale,avtale.mp4
avverge,avverge.mp4
avvik 1,avvik.mp4
avvik 2,avvik-2.mp4
avvise,avvise.mp4
aya (vers i koranen),aya-vers-koranen-1.mp4
B,B.mp4
B (tohåndsalfabetet) 1,B-2.mp4
B (tohåndsalfabetet) 2,B-2-2.mp4
baby,baby.mp4
bachelor,bachelor.mp4
back,back.mp4
backendutvikler,backendutvikler.mp4
backhand,backhand.mp4
bacon,bacon.mp4
bad (baderom),bad.mp4
bad 2,bad-2.mp4
bade,bade.mp4
både 1,baade-1.mp4
både 2,baade-2.mp4
badeball,badeball.mp4
badebukse,badebukse.mp4
badedrakt 1,badedrakt-1.mp4
badedrakt 2,badedrakt-2.mp4
badedyr,badedyr.mp4
badehette,badehette.mp4
badekar,badekar.mp4
badering,badering.mp4
badestrand,badestrand.mp4
badetøy,badetoey.mp4
badminton,badminton.mp4
badstu 1,badstu.mp4
badstu 2,badstu-2.mp4
bagasje,bagasje.mp4
bajonettsag (verktøy) 1,bajonettsag-1.mp4
bajonettsag (verktøy) 2,bajonettsag-2.mp4
bajonettsag (verktøy) 3,bajonettsag-4.mp4
bak (bakom) 1,bak-bakom-1.mp4
bak (bakom) 2,bak-bakom-2.mp4
bak (etter),bak-etter.mp4
bak: gå bak,bak-gaa-bak.mp4
bakaksel,bakaksel.mp4
bake,bake.mp4
bakepulver,bakepulver.mp4
baker,baker.mp4
bakers system (bowling),bakers-system.mp4
bakgrunn,bakgrunn.mp4
bakhjulsdrift,bakhjulsdrift.mp4
bakke,bakke.mp4
bakkerekord,bakkerekord.mp4
baklinje,baklinje.mp4
baklys,baklys.mp4
bakterie 1,bakterie.mp4
bakterie 2,bakterie-2.mp4
bål 1,baal-1.mp4
bål 2,baal-2.mp4
bål 3,baal-3.mp4
balalaika,balalaika.mp4
balanse (balanseorgan),balanse-1.mp4
balanse (likevekt),balanse-2.mp4
balanse/-re,balanse-3.mp4
balje,balje.mp4
balkong,balkong.mp4
ball (kaste b-),kaste-ball.mp4
ball (stor),ball-stor.mp4
ballett,ballett.mp4
ballong,ballong.mp4
balsamere,balsamere.mp4
bamse 1,bamse-1.mp4
bamse 2,bamse-2.mp4
banan 1,banan.mp4
banan 2,banan-3.mp4
bånd (kobbel),baand.mp4
bånd (limbånd o.l.),baand-limbaand-ol.mp4
bandasje,bandasje.mp4
banditt,banditt.mp4
båndsliper 1,baandslipe-1.mp4
båndsliper 2,baandslipe-2.mp4
bane,bane.mp4
bane (kjemi),bane-kjemi.mp4
Bangkok 1,bangkok-1.mp4
Bangkok 2,bangkok-2.mp4
Bangladesh 1,bangladesh-3.mp4
Bangladesh 2,bangladesh-2.mp4
Bangladesh 3,Bangladesh.mp4
bank,bank.mp4
bank (juling),bank-juling.mp4
banke 1,banke-1.mp4
banke 2,banke-2.mp4
bankkort,bankkort.mp4
bankraner,bankraner.mp4
banne,banne.mp4
banner (IKT),banner-ikt.mp4
baptist,baptist-2.mp4
bar (utested),bar-utested-2.mp4
bar 1,bar-utested-1.mp4
Bar Mitsva (jødedom),bar-mitsva.mp4
barberblad,barberblad.mp4
barbere,barbere.mp4
barberhøvel,barberhoevel.mp4
barbermaskin,barbermaskin.mp4
Bård,baard.mp4
bare,bare.mp4
bark 1,bark-1.mp4
bark 2,bark-2.mp4
barmhjertig,barmhjertig.mp4
barn,barn.mp4
barn (spedbarn),barn-spedbarn.mp4
barn: flere barn,barn-flere-barn.mp4
barnebarn,barnebarn.mp4
barnedåp,barnedaap.mp4
barnefilm,barnefilm.mp4
barnefordeling,barnefordeling.mp4
barnehage 1,barnehage.mp4
barnehage 2,barnehage-2.mp4
barnehagebarn,barnehagebarn.mp4
barnerom,barnerom.mp4
barnevakt (person),barnevakt-person.mp4
barnevern,barnevern.mp4
barnevernspedagog,barnevernspedagog.mp4
barnevogn,barnevogn.mp4
barnslig,barnslig.mp4
barometer,barometer.mp4
bart,bart.mp4
bart: stor mustasje,bart-stor-mustasje.mp4
bås,baas.mp4
base,base.mp4
base (grunnlag),base-2.mp4
base (kjemi),base-2.mp4
basepar,basepar.mp4
basert på,basert-paa.mp4
basis,basis.mp4
basketball 1,basketball-1.mp4
basketball 2,basketball-2.mp4
båt,baat.mp4
Batman,batman.mp4
batterdrill (verktøy),batteridrill.mp4
batteri,batteri.mp4
båtvelt,baatvelt.mp4
baufil (elektrisk) 1,baufil-1.mp4
baufil 2,baufil.mp4
bauta,bauta.mp4
bær,baer.mp4
bærbar-PC,baerbar-pc.mp4
bære (bære fram),baere-baere-fram.mp4
bære (fane o.l.),baere-fane-ol.mp4
bære (koffert o.l.),baere-koffert-ol.mp4
bære (sekk) 1,baere-sekk-1.mp4
bære (sekk) 2,baere-sekk-2.mp4
bærebjelke,baerebjelke.mp4
bærekraftig,baerekraftig.mp4
bærevegg,baerevegg.mp4
Bærum,baerum.mp4
bæsj,baersj.mp4
be (islam) 1,be-islam-2.mp4
be (islam) 2,be-islam-1.mp4
be 1,be-1.mp4
be 2,be-2.mp4
bearbeide,bearbeide.mp4
Beate,beate.mp4
beboer,beboer.mp4
bedøvelse (narkose),bedoevelse-1-narkose.mp4
bedøvelse (sprøyte) 1,bedovelse-sproyte.mp4
bedøvelse (sprøyte) 2,bedovelse-sproyte-3.mp4
bedøvelse (tannlege),bedoevelse-tannlege.mp4
bedra,bedra.mp4
bedre,bedre.mp4
bedre og bedre,bedre-og-bedre.mp4
bedrift,bedrift.mp4
bedrøvet 1,bedroevet-1.mp4
bedrøvet 2,bedroevet-2.mp4
befale,befale.mp4
befrielse,befrielse.mp4
begeistret 1,begeistret.mp4
begeistret 2,begeistret-2.mp4
beger,beger.mp4
begge,begge.mp4
begivenhet,begivenhet.mp4
begjær,begjaer.mp4
begrave/-lse,begrave-lse.mp4
begrenset,begrenset.mp4
begrep 1,begrep.mp4
begrep 2,begrep-2.mp4
begrunn,begrunn.mp4
begrunne/begrunnelse,begrunne-begrunnelse.mp4
begynne/-lse,begynne-lse.mp4
behagelig,behagelig.mp4
behandle/-ing,behandle-ing.mp4
behandlingsapparat,behandlingsapparat.mp4
behandlingsutøver,behandlingsutover.mp4
beholde,beholde.mp4
behov,behov.mp4
behovspyramide (Maslow),behovspyramide-maslow.mp4
Beijing,beijing-.mp4
bein (hunde b-),bein.mp4
bein (knokkel),bein-2.mp4
bein (kroppsdel),bein-3.mp4
beinbrudd,beinbrudd.mp4
beinbygning,beinbygning.mp4
Beirut,beirut.mp4
bekk,bekk.mp4
bekken (vannlatingskar),bekken-vannlatingskar.mp4
beklage 1,beklage-1.mp4
beklage 2,beklage-2.mp4
bekreftelse,bekreftelse.mp4
bekymret,bekymret.mp4
bekymring,bekymring.mp4
belastning,belastning.mp4
belegg,belegg.mp4
Belgia 1,belgia-1.mp4
Belgia 2,belgia-2.mp4
belønne/-ing,beloenne-ing.mp4
beløp,beloep.mp4
belte,belte.mp4
belysning,belysning.mp4
ben (kroppsdel),bein-3.mp4
benekte,benekte.mp4
benk,benk.mp4
bensin,bensin.mp4
bensinstasjon,bensinstasjon.mp4
Bente 1,bente.mp4
Bente 2,bente-2.mp4
benytte,benytte.mp4
beregne,beregne.mp4
beretning,beretning.mp4
berg,berg.mp4
Bergen,Bergen.mp4
Berit,berit.mp4
Berlin,berlin.mp4
berømt,beroemt.mp4
beruset 1,beruset-1.mp4
beruset 2,beruset-2.mp4
beskjed 1,beskjed-1.mp4
beskjed 2,beskjed-2.mp4
beskjeden (sjenert),beskjeden-sjenert.mp4
beskjeden (tilbakeholden),beskjeden-tilbakeholden.mp4
beskylde,beskylde.mp4
beskytte,beskytte.mp4
beslutte 1,beslutte.mp4
beslutte 2,bestemt-beslutte.mp4
besøke,besoeke-1.mp4
besøke (hos andre),besoeke.mp4
besøke (hos meg),besoeke-2.mp4
besøksforbud,besoeksforbud.mp4
best 1,best.mp4
best 2,best-2.mp4
best: aller best,best-aller-best.mp4
bestå,bestaa.mp4
beste,beste.mp4
beste spiller,beste-spiller.mp4
bestefar,bestefar.mp4
bestefar 2,bestefar-2.mp4
besteforeldre,besteforeldre.mp4
bestemme 1,bestemme-1.mp4
bestemme 2,bestemme-2.mp4
bestemor 1,bestemor-1.mp4
bestemor 2,bestemor-2.mp4
bestemt 1,bestemt.mp4
bestemt 2,bestemt-beslutte.mp4
bestikk 1,bestikk.mp4
bestikk 2,bestikk-2.mp4
bestille 1,bestille.mp4
bestille 2,bestille-2.mp4
besvime 1,besvime-1.mp4
besvime 2,besvime-2.mp4
besvime 3,besvime-lse.mp4
besvime 4,besvime-4.mp4
betale 1,betale-1.mp4
betale 2,betale-2.mp4
betegnelse,betegnelse.mp4
betennelse 1,betennelse.mp4
betennelse 2,betennelse-2.mp4
betinget,betinget.mp4
Betlehem,betlehem.mp4
betong,betong.mp4
bety/-dning,bety-dning.mp4
beundre 1,beundre-1.mp4
beundre 2,beundre-2.mp4
bevare,bevare.mp4
bevare 2,bevare-2.mp4
bevege 1,bevege-1.mp4
bevege 2,bevege-2.mp4
bevegelse,bevegelse.mp4
bevegelseshemmet,bevegelseshemmet.mp4
bever 1,bever-1.mp4
bever 2,bever-2.mp4
bevilge/-ning,bevilge-ning.mp4
bevilgning,bevilgning.mp4
bevis 1,bevis.mp4
bevis 2,bevis-2.mp4
bevisst/-het,bevisst-het.mp4
bevisstløs 1,bevisstloes.mp4
bevisstløs 2,bevisstlos-2.mp4
Bibel,bibel.mp4
bibliotek 1,bibliotek-1.mp4
bibliotek 2,bibliotek-2.mp4
bidra,bidra.mp4
bidrag,bidrag.mp4
bie,bie.mp4
biff,biff.mp4
bifil/bifili,bifil-bifili.mp4
bigami,bigami.mp4
bihulebetennelse,bihulebetennelse.mp4
bikini,bikini.mp4
bil 1,bil-1.mp4
bil 2,bil-2.mp4
bilag,bilag.mp4
bilbatteri 1,bilbatteri-1.mp4
bilbatteri 2,bilbatteri-2.mp4
bilbelte,bilbelte.mp4
bilde (å ta b-),fotografere-2.mp4
bilde 1,bilde-fotografi.mp4
bilde 2,bilde-paa-veggen.mp4
bilde 3,bilde.mp4
bildekomposisjon,bildekomposisjon.mp4
bildemanipulering,bildemanipulering.mp4
bilderedigering,bilderedigering.mp4
bileier 1,bileier.mp4
bileier 2,bileier-2.mp4
biljard,biljard.mp4
billedhogger,billedhogger.mp4
billett 1,billett.mp4
billett 2,billett-2.mp4
billig,billig.mp4
bilmerke,bilmerke.mp4
biloppretter 1,biloppretter-1.mp4
biloppretter 2,biloppretter-2.mp4
bind,bind.mp4
binde 1,binde-1.mp4
binde 2,binde-2.mp4
binders,binders.mp4
bindevev,bindevev.mp4
binding,binding.mp4
bindinger (feks skib-),bindinger.mp4
bindingsverk 1,bindingsverk.mp4
bindingsverk 2,bindingsverk-staaende.mp4
biologi 1,biologi.mp4
biologi 2,biologi-2.mp4
bipolar depresjon,bipolar-depresjon.mp4
bisettelse,bisettelse.mp4
biskop,biskop.mp4
bispedømme,bispedoemme.mp4
bistandsadvokat,bistandsadvokat.mp4
bite,bite.mp4
bite (hoggorm-bitt),bite-hoggorm-bitt.mp4
bitter,bitter.mp4
bjeffe,bjeffe.mp4
bjelke (tak),bjelke-2.mp4
bjelke 1,bjelke.mp4
bjelke 2,bjelke-1.mp4
bjelkelag,bjelkelag-1.mp4
Bjørg,bjorg.mp4
bjørn,bjoern.mp4
Bjørn (navn),bjorn.mp4
blå,blaa-blaatt-1.mp4
blå: veldig blå,blaa-veldig-blaa.mp4
blad,blad.mp4
blad (papir/ark i et vist format),blad-papir-ark-i-et-vist-format.mp4
blad faller,blad-faller.mp4
blåmuggost,blaamuggost.mp4
blande,blande.mp4
blank,blank.mp4
blankett,blankett.mp4
blåse (med munnen),blaase-med-munnen.mp4
blåse (om vind),blaase-om-vind.mp4
blåse: det blåser,blaase-det-blaaser.mp4
blåskjell,blaaskjell.mp4
blåveis (blomst),blaaveis-blomst.mp4
blære 1,blaere-1.mp4
blære 2,blaere-2.mp4
bleie,bleie.mp4
blek,blek.mp4
blekksprut,blekksprut.mp4
blemme,blemme.mp4
blende,blende.mp4
blender (kjøkkenmaskin),blender-2.mp4
blender (optisk instrument),blender.mp4
bli,bli.mp4
bli medlem,bli-medlem.mp4
blid,blid.mp4
blikk (metall) 1,blikk-metall.mp4
blikk (metall) 2,blikk-metall-2.mp4
blikk (syn),blikk-syn.mp4
blikkenslager,blikkenslager.mp4
blikkfang,blikkfang.mp4
blikksaks,blikksaks.mp4
blind 1,blind-1.mp4
blind 2,blind-2.mp4
Blindern 1,blindern-1.mp4
Blindern 2,blindern-2.mp4
blindtarm,blindtarm.mp4
blink,blink.mp4
blinke,blinke.mp4
blod 1,blod-1.mp4
blod 2,blod-2.mp4
blod 3,blod-3.mp4
"blod, størknet",stoerknet-blod.mp4
blodåre 1,blodaare.mp4
blodåre 2,blodaare-2.mp4
blodkar,blodkar.mp4
blodkreft,blodkreft.mp4
blodlegeme,blodlegeme.mp4
blodmangel,blodmangel.mp4
blodprøve 1,blodproeve.mp4
blodprøve 2,blodprove-2.mp4
blodsukker,blodsukker.mp4
blodsukkermåler,blodsukkermaaler.mp4
blodtrykk 1,blodtrykk.mp4
blodtrykk 2,blodtrykk-2.mp4
blodtype,blodtype.mp4
blokk,blokk.mp4
blokk (håndball),blokk-haandball.mp4
blokk (høyblokk),blokk-hoyblokk.mp4
blomkål 1,blomkaal.mp4
blomkål 2,blomkaal-3.mp4
blomst 1,blomst-1.mp4
blomst 2,blomst-2.mp4
blomsterbed,blomsterbed.mp4
"blomstre, flere",blomstre-flere.mp4
blond (hårfarge),blond-haarfarge.mp4
blotte,blotte.mp4
blotting,blotting-2.mp4
blø 1,bloe-1.mp4
blø 2,bloe-2.mp4
blø 3,bloe.mp4
bløt,blot.mp4
bløtkake 1,bloetkake.mp4
bløtkake 2,bloetkake-2.mp4
blunke,blunke.mp4
bluse 1,bluse-1.mp4
bluse 2,bluse-2.mp4
blyant 1,blyant.mp4
blyant 2,blyant-2.mp4
blyant: lang og smal,blyant-lang-og-smal.mp4
blyant: liten,blyant-liten.mp4
blyantspisser 1,blyantspisser-1.mp4
blyantspisser 2,blyantspisser-2.mp4
BMW (bilmerke),bmw.mp4
bo,bo.mp4
boblebukse 1,boblebukse-1.mp4
boblebukse 2,boblebukse-2.mp4
boblejakke 1,boblejakke-1.mp4
boblejakke 2,boblejakke-2.mp4
bobsleigh,bobsleigh.mp4
bod,bod.mp4
Bodø,bodoe.mp4
boikott,boikott.mp4
bok,bok.mp4
bokhylle,bokhylle.mp4
boks (firkantet),boks-firkantet.mp4
boks (rund),boks-rund.mp4
boksåpner,boksaapner.mp4
bokse,bokse.mp4
bokstav,bokstav.mp4
bokstavere,bokstavere.mp4
boktrykker,boktrykker.mp4
bolig,bolig.mp4
bolighus,bolighus.mp4
Bolivia,bolivia.mp4
